ID,Locality,srtm,slope,int_extDrain,effDepth,trmm_0,trmm_1,trmm_2,tempAvg_0,PrecAcc_0,PrecAcc_1,PrecAcc_2,Yield
158,Chical,2005,15,3,64,6.248,4.596,10.51672053,16.3,15.3,15.5,21.8,0.05
159,Chical,2005,15,3,64,6.4232637,3.22,7.1268142,16.3,15.3,15.5,21.8,0.050833333
160,Chical,2005,15,3,64,0.6325127,6.348,4.744,16.5,17.4,15.3,15.5,0.051785714
161,Chical,2005,15,3,64,1.626019286,4.7677761,3.468,16.5,17.4,15.3,15.5,0.0525
162,Chical,2005,15,3,64,3.441232467,1.479498643,4.7960552,16.6,20.5,17.4,15.3,0.05390625
163,Chical,2005,15,3,64,2.483429533,3.80029475,0.4490539,16.6,16.5,20.5,17.4,0.05390625
164,Chical,2005,15,3,64,1.808732033,3.466876267,1.397278714,16.6,16.5,20.5,17.4,0.0540625
165,Chical,2005,15,3,64,1.5852096,2.935277567,2.795864179,16.6,16.5,20.5,17.4,0.054166667
166,Jacoba,2151,22,3,67,4.728027267,4.797360367,12.5445502,17.5,16.7,20.3,16.2,0.0553125
167,Chical,2005,15,3,64,2.9094771,4.582067333,7.9759069,17.4,5.7,16.7,20.3,0.055625
168,Jacoba,1900,14,3,60,2.561929567,2.521377167,6.5447974,17.4,5.7,16.7,20.3,0.05609375
169,Chical,2005,15,3,64,0.2328434,3.0160811,4.508957133,17.5,2.7,5.7,16.7,0.056785714
170,Jacoba,1900,14,3,60,1.100410133,2.563968367,4.0644947,17.5,2.7,5.7,16.7,0.057142857
171,Chical,2005,15,3,64,1.145188533,0.3791384,2.7644707,17.5,4.4,2.7,5.7,0.058571429
172,Jacoba,1900,14,3,60,0.3313962,1.120821533,2.440015267,17.5,4.4,2.7,5.7,0.058690476
173,Chical,2005,15,3,64,0.6823608,1.049166533,0.2869425,17.6,8.9,4.4,2.7,0.06
174,Chical,2005,15,3,64,2.1424454,0.3443815,1.107836233,17.6,8.9,4.4,2.7,0.060178571
175,Chical,2005,15,3,64,4.558841,0.563549,0.912279633,17.1,26.8,8.9,4.4,0.06125
176,Chical,2066,23,3,64,5.847826633,2.1573244,0.3369286,17.1,26.8,8.9,4.4,0.061354167
177,Chical,2066,23,3,64,8.177961167,5.541617467,1.296425267,16.7,29.5,26.8,8.9,0.0615625
178,Chical,2066,23,3,64,10.69884203,6.932583633,2.1424454,16.7,29.5,26.8,8.9,0.06275
179,Chical,1994,13,3,45,10.89134387,9.5120818,1.875124,16.6,21,29.5,26.8,0.063214286
180,Jacoba,1900,14,3,60,10.16289523,7.4350588,5.804896933,16.6,21,29.5,26.8,0.063928571
181,Chical,2152,22,3,67,7.498,10.76646323,6.864962433,16.6,21,29.5,26.8,0.064375
182,Chical,2148,20,3,66,3.786,10.66023523,7.0196771,17.1,14.4,21,29.5,0.0655
183,Chical,1994,13,3,45,6.146,7.802775733,10.7557842,17.1,14.4,21,29.5,0.066666667
184,Chical,2066,23,3,64,6.248,4.596,10.51672053,17.3,14.7,14.4,21,0.067142857
185,Chical,2066,23,3,64,4.3910539,3.882,7.257728033,17.3,14.7,14.4,21,0.069464286
186,Chical,2005,15,3,64,1.3600291,6.3102833,3.37,17.6,16.2,14.7,14.4,0.06975
187,Jacoba,1900,14,3,60,3.137405929,0.4490539,6.584,17.6,16.2,14.7,14.4,0.071785714
188,Chical,2031,10,3,66,4.357178536,0.8295462,6.2721453,17.6,20.3,16.2,14.7,0.071785714
189,Chical,2066,23,3,64,2.969801367,2.978852286,0.4490539,17.6,20.3,16.2,14.7,0.071964286
190,Jacoba,1900,14,3,60,1.852494933,4.354910321,0.7303236,17.5,16.7,20.3,16.2,0.07225
191,Chical,1994,13,3,45,1.5852096,2.935277567,2.795864179,17.5,16.7,20.3,16.2,0.073
192,Chical,1994,13,3,45,3.83762417,4.475594,3.111198133,17.3,14.7,14.4,21,0.075
193,Chical,1994,13,3,45,4.882413767,2.579183937,4.642215467,17.3,14.7,14.4,21,0.07725
194,Chical,1994,13,3,45,6.557157833,4.24638737,3.8772463,17.6,16.2,14.7,14.4,0.077380952
195,Chical,1994,13,3,45,11.47477917,4.882413767,2.826320637,17.6,16.2,14.7,14.4,0.0775
196,Chical,1994,13,3,45,11.88513217,5.4028585,4.46013137,17.6,20.3,16.2,14.7,0.0778125
197,Chical,1994,13,3,45,7.6860936,9.874701367,4.609006567,17.6,20.3,16.2,14.7,0.0785
